>Enter w1:3
w 1:3
Joint command
     JT1       JT2       JT3       JT4       JT5       JT6       JT7  
     0.000     6.943   100.200   -39.242     0.000   -18.112    -5.434
     0.000     8.010   100.200   -45.271     0.000   -20.894    -6.268
     0.000     9.152   100.200   -51.731     0.000   -23.876    -7.163
     0.000    10.371   100.200   -58.621     0.000   -27.056    -8.117
     0.000    11.664   100.200   -65.929     0.000   -30.429    -9.129
     0.000    12.940   100.200   -73.142     0.000   -33.758   -10.127
     0.000    14.140   100.200   -79.924     0.000   -36.888   -11.066
     0.000    15.264   100.200   -86.276     0.000   -39.820   -11.946
     0.000    16.312   100.200   -92.198     0.000   -42.553   -12.766
     0.000    17.313   100.200   -97.693     0.000   -45.247   -13.524
     0.000    18.299   100.200  -102.767     0.000   -48.061   -14.217
     0.000    19.269   100.200  -107.420     0.000   -50.995   -14.845
     0.000    20.223   100.200  -111.652     0.000   -54.051   -15.409
     0.000    21.161   100.200  -115.462     0.000   -57.226   -15.908
     0.000    22.082   100.200  -118.851     0.000   -60.522   -16.342
     0.000    22.988   100.200  -121.819     0.000   -63.939   -16.712
     0.000    23.879   100.200  -124.366     0.000   -67.476   -17.017
     0.000    24.753   100.200  -126.491     0.000   -71.133   -17.258
     0.000    25.611   100.200  -128.195     0.000   -74.911   -17.433
     0.000    26.453   100.200  -129.478     0.000   -78.809   -17.545
     0.000    27.280   100.200  -130.340     0.000   -82.828   -17.591
     0.000    28.090   100.200  -130.781     0.000   -86.968   -17.573
     0.000    28.882   100.200  -130.917     0.000   -91.154   -17.509
     0.000    29.620   100.200  -131.032     0.000   -95.064   -17.447
     0.000    30.298   100.200  -131.138     0.000   -98.655   -17.391
     0.000    30.916   100.200  -131.234     0.000  -101.927   -17.339
     0.000    31.487   100.200  -131.263     0.000  -104.925   -17.292
     0.000    32.024   100.200  -131.169     0.000  -107.692   -17.248
     0.000    32.531   100.200  -130.955     0.000  -110.229   -17.207
     0.000    33.011   100.200  -130.627     0.000  -112.532   -17.165
     0.000    33.469   100.200  -130.194     0.000  -114.598   -17.120
     0.000    33.911   100.200  -129.664     0.000  -116.425   -17.069
     0.000    34.344   100.200  -129.051     0.000  -118.006   -17.006
     0.000    34.779   100.200  -128.367     0.000  -119.339   -16.927
     0.000    35.223   100.200  -127.628     0.000  -120.416   -16.826
     0.000    35.689   100.200  -126.850     0.000  -121.242   -16.698
     0.000    36.229   100.200  -126.058     0.000  -122.029   -16.531
     0.000    36.872   100.200  -125.272     0.000  -122.862   -16.318
     0.000    37.631   100.200  -124.512     0.000  -123.730   -16.051
     0.000    38.518   100.200  -123.801     0.000  -124.627   -15.721
     0.000    39.545   100.200  -123.161     0.000  -125.542   -15.318
     0.000    40.728   100.200  -122.616     0.000  -126.465   -14.832
     0.000    42.079   100.200  -122.192     0.000  -127.383   -14.250
     0.000    43.614   100.200  -121.920     0.000  -128.281   -13.558
     0.000    45.347   100.200  -121.830     0.000  -129.143   -12.739
     0.000    47.281   100.200  -121.956     0.000  -129.945   -11.781
     0.000    49.340   100.200  -122.312     0.000  -130.640   -10.711
     0.000    51.482   100.200  -122.892     0.000  -131.209    -9.544
     0.000    53.671   100.200  -123.680     0.000  -131.647    -8.296
     0.000    55.870   100.200  -124.652     0.000  -131.952    -6.986
     0.000    58.039   100.200  -125.772     0.000  -132.130    -5.640
     0.000    60.141   100.200  -127.001     0.000  -132.193    -4.285
     0.000    62.138   100.200  -128.293     0.000  -132.157    -2.952
     0.000    63.998   100.200  -129.599     0.000  -132.043    -1.671
     0.000    65.690   100.200  -130.873     0.000  -131.874    -0.474
     0.000    67.190   100.200  -132.070     0.000  -131.672     0.614
     0.000    68.483   100.200  -133.149     0.000  -131.460     1.570
     0.000    69.559   100.200  -134.081     0.000  -131.258     2.378
     0.000    70.418   100.200  -134.847     0.000  -131.079     3.032
     0.000    71.068   100.200  -135.440     0.000  -130.933     3.532
     0.000    71.527   100.200  -135.866     0.000  -130.825     3.887
     0.000    71.822   100.200  -136.142     0.000  -130.754     4.116
     0.000    71.984   100.200  -136.295     0.000  -130.714     4.243
     0.000    72.052   100.200  -136.359     0.000  -130.697     4.296
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.066   100.200  -136.372     0.000  -130.693     4.307
     0.000    72.058   100.867  -136.370     0.000  -130.688     4.312
     0.000    72.037   102.468  -136.361     0.000  -130.677     4.320
     0.000    72.010   103.986  -136.331     0.000  -130.691     4.289
     0.000    71.983   105.379  -136.296     0.000  -130.711     4.247
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
     0.000    71.977   105.700  -136.288     0.000  -130.716     4.237
